geoid,ct,pop,households,grp_qtrs,inst,pop_u18,hisp,white,black,asian,other_race,multiracial,housing,occupied,vacant
36005037900,2037900,6878,6287,591,0,2207,3319,122,3171,42,104,120,2336,2241,95
36005038000,2038000,4938,4731,207,0,1153,1248,110,3305,109,59,107,2064,1880,184
36005038100,2038100,6853,6781,72,0,1757,5093,112,1430,82,79,57,2394,2329,65
36005038200,2038200,2852,2852,0,0,662,618,47,2049,20,30,88,1001,946,55
36005038301,2038301,4635,4586,49,0,1127,3344,82,1051,66,41,51,1613,1578,35
36005038303,2038303,3468,3468,0,0,908,1820,36,1479,13,40,80,1270,1227,43
36005038304,2038304,2508,2190,318,0,804,1684,61,704,13,11,35,788,748,40
36005038500,2038500,5362,5319,43,0,1607,3312,124,1706,30,70,120,2044,1963,81
36005038600,2038600,7949,7916,33,0,1931,1246,77,6266,73,86,201,2907,2813,94
36005038700,2038700,3401,3353,48,0,897,2111,355,765,88,25,57,1368,1259,109
36005038800,2038800,2941,2919,22,0,736,651,48,2127,18,23,74,1003,941,62
36005038900,2038900,4819,4660,159,0,1184,2943,913,650,151,53,109,1898,1699,199
36005039000,2039000,3323,3323,0,0,832,857,54,2238,65,45,64,1184,1094,90
36005039100,2039100,7210,7151,59,0,1955,5414,560,986,105,73,72,2698,2534,164
36005039200,2039200,1809,1750,59,47,405,557,37,1124,14,20,57,665,625,40
36005039300,2039300,8033,7831,202,0,2212,5230,261,2307,33,86,116,3265,3151,114
36005039400,2039400,4647,4436,211,187,1098,1655,151,2606,64,83,88,1717,1650,67
36005039500,2039500,4254,4053,201,0,1088,2629,81,1419,30,48,47,1713,1583,130
36005039600,2039600,4485,4399,86,0,1092,1177,58,2999,80,51,120,1601,1503,98
36005039700,2039700,4492,1353,3139,0,274,1143,2458,325,318,49,199,597,545,52
36005039800,2039800,3347,3338,9,0,815,575,55,2573,20,35,89,1185,1087,98
36005039901,2039901,5254,5158,96,0,1275,3664,160,959,302,82,87,1753,1674,79
36005039902,2039902,5548,5218,330,0,1545,4081,100,1039,136,123,69,1726,1684,42
36005040100,2040100,5009,4916,93,0,1293,3873,158,713,118,52,95,1819,1581,238
36005040302,2040302,4197,4197,0,0,1089,3453,75,402,154,61,52,1421,1385,36
36005040303,2040303,4843,4723,120,0,1105,3747,132,702,121,65,76,1798,1747,51
36005040304,2040304,4125,4102,23,0,1049,3137,108,517,273,41,49,1413,1384,29
36005040400,2040400,3530,3514,16,0,792,775,39,2549,34,46,87,1236,1154,82
36005040501,2040501,4385,4385,0,0,1115,3274,111,813,62,64,61,1457,1396,61
36005040502,2040502,7320,7062,258,0,1870,4866,175,1870,167,130,112,2553,2441,112
36005040600,2040600,3792,3782,10,0,873,1018,61,2391,93,76,153,1480,1370,110
36005040701,2040701,3235,3215,20,0,717,2465,204,396,91,39,40,1278,1181,97
36005040702,2040702,6968,6808,160,0,1427,4820,514,962,461,114,97,2758,2663,95
36005040800,2040800,4475,4461,14,2,1151,1931,110,2078,166,67,123,1682,1622,60
36005040900,2040900,3580,3580,0,0,649,744,420,2110,217,45,44,1472,1423,49
36005041100,2041100,3215,3192,23,0,753,2302,234,513,102,28,36,1377,1262,115
36005041300,2041300,7781,7581,200,0,1778,5257,857,1164,289,74,140,3094,2963,131
36005041400,2041400,5342,5168,174,12,1070,1474,200,2862,280,289,237,1951,1817,134
36005041500,2041500,5872,5845,27,0,1296,3789,631,861,388,102,101,2408,2339,69
36005041800,2041800,3752,3612,140,0,750,1250,165,1792,207,198,140,1427,1352,75
36005041900,2041900,7205,7120,85,0,1766,4605,566,877,963,101,93,2661,2569,92
36005042000,2042000,3905,3799,106,6,957,1708,98,1771,129,112,87,1548,1498,50
36005042100,2042100,6135,6123,12,0,1413,3776,468,812,864,104,111,2390,2304,86
36005042200,2042200,3211,3204,7,0,677,764,83,2148,65,63,88,1269,1208,61
36005042300,2042300,4179,4160,19,0,1204,2614,431,558,442,68,66,1492,1421,71
36005042400,2042400,2553,2345,208,208,511,517,78,1795,52,40,71,878,820,58
36005042500,2042500,7667,7645,22,0,2101,4496,691,827,1447,81,125,2621,2510,111
36005042600,2042600,6982,6937,45,11,1455,1017,91,5548,86,93,147,2379,2263,116
36005042800,2042800,2230,2230,0,0,460,359,37,1655,29,56,94,794,769,25
36005042901,2042901,3711,3711,0,0,944,2160,244,540,675,36,56,1357,1317,40
36005042902,2042902,4334,4228,106,106,1011,2576,257,1011,356,61,73,1728,1668,60
36005043000,2043000,2952,2952,0,0,581,565,69,2008,95,115,100,1103,1036,67
36005043101,2043101,5185,5139,46,0,1310,2812,236,869,1070,131,67,1910,1864,46
36005043102,2043102,5050,4619,431,392,1061,3531,200,943,232,60,84,1749,1700,49
36005043400,2043400,3649,3614,35,0,807,898,179,2059,159,192,162,1372,1319,53
36005043501,2043501,1192,1187,5,0,409,470,13,624,29,17,39,489,482,7
36005043502,2043502,2,0,2,0,1,0,0,1,0,1,0,0,0,0
36005043503,2043503,122,122,0,0,11,45,29,35,4,1,8,72,72,0
36005043600,2043600,2061,2061,0,0,424,395,56,1373,78,58,101,738,693,45
36005044200,2044200,3877,3854,23,3,886,929,51,2570,95,86,146,1430,1340,90
36005044400,2044400,3984,3980,4,0,830,583,100,3047,55,109,90,1456,1347,109
36005044800,2044800,2007,1999,8,0,376,268,30,1581,35,36,57,739,699,40
36005044901,2044901,1946,1932,14,14,363,368,1348,132,30,15,53,935,856,79
36005044902,2044902,2229,2203,26,26,356,486,1499,157,33,13,41,1014,958,56
36005045101,2045101,1817,1805,12,0,264,318,1229,146,72,4,48,957,892,65
36005045102,2045102,2142,2142,0,0,398,381,1450,162,48,35,66,990,936,54
36005045600,2045600,3056,3038,18,0,614,702,435,1693,48,67,111,1163,1072,91
36005045800,2045800,5662,5662,0,0,1646,3275,44,2181,30,34,98,2144,2102,42
36005046000,2046000,2890,2643,247,247,588,842,42,1861,22,49,74,1067,1011,56
36005046203,2046203,6599,6094,505,461,833,2180,415,3669,109,55,171,3068,2987,81
36005046204,2046204,5552,5528,24,0,837,1543,326,3399,68,59,157,2691,2614,77
36005046205,2046205,4445,4431,14,0,648,1335,235,2658,38,37,142,2198,2147,51
36005046206,2046206,4434,4434,0,0,729,1002,194,3011,72,46,109,2207,2136,71
36005046207,2046207,6228,6007,221,0,906,1665,340,3935,83,52,153,3146,3045,101
36005046208,2046208,5155,4496,659,641,994,1192,122,3591,65,60,125,1529,1448,81
36005046209,2046209,3707,3707,0,0,970,1384,19,2137,31,49,87,1400,1357,43
36005048401,2048401,3888,3780,108,25,839,802,65,2830,44,43,104,1354,1286,68
36005048402,2048402,41,38,3,0,9,14,0,20,0,0,7,10,10,0
36005050400,2050400,5,5,0,0,3,2,0,0,0,0,3,2,2,0
36005051601,2051601,4445,4424,21,0,696,1139,2735,210,200,32,129,2223,2065,158
36005051602,2051602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36047000100,3000100,4616,4615,1,0,744,412,3180,295,448,33,248,2663,2429,234
