ed,hochul,zeldin,gov_votes,voters_nov22
56046,608.0,24.0,636.0,1448.0
56047,538.0,24.0,570.0,1378.0
56048,655.0,26.0,685.0,1446.0
56049,535.0,18.0,556.0,1411.0
56050,645.0,19.0,669.0,1590.0
56051,193.0,6.0,204.0,1028.0
56052,228.0,23.0,257.0,1016.0
56053,452.0,24.0,482.0,1320.0
56054,258.0,16.0,280.0,775.0
56055,313.0,10.0,328.0,954.0
56056,696.0,25.0,727.0,1821.0
56057,241.0,21.0,268.0,1171.0
56058,742.0,18.0,768.0,1816.0
56059,273.0,9.0,287.0,686.0
56060,237.0,10.0,251.0,941.0
56061,238.0,20.0,260.0,774.0
56062,349.0,21.0,373.0,1327.0
56063,522.0,17.0,544.0,1307.0
56064,364.0,15.0,391.0,1457.0
56065,174.0,10.0,186.0,607.0
56066,171.0,3.0,175.0,651.0
56067,168.0,11.0,184.0,800.0
57001,257.0,22.0,284.0,1452.0
57002,299.0,33.0,335.0,1307.0
57003,230.0,40.0,275.0,1371.0
57004,248.0,41.0,295.0,1322.0
57005,127.0,9.0,137.0,788.0
57006,202.0,15.0,218.0,903.0
57007,199.0,21.0,222.0,1153.0
57008,570.0,27.0,606.0,1369.0
57009,508.0,20.0,534.0,1217.0
57010,781.0,30.0,816.0,1573.0
57011,808.0,33.0,852.0,1446.0
57012,123.0,67.0,192.0,464.0
57013,148.0,661.0,817.0,1415.0
57014,203.0,266.0,471.0,970.0
57015,572.0,27.0,609.0,980.0
57016,560.0,36.0,600.0,1075.0
57017,974.0,55.0,1035.0,1932.0
57018,493.0,28.0,524.0,881.0
57019,997.0,37.0,1043.0,1761.0
57020,648.0,29.0,685.0,1223.0
57021,555.0,21.0,582.0,1082.0
57022,741.0,19.0,766.0,1255.0
57023,597.0,31.0,636.0,1501.0
57024,356.0,12.0,372.0,822.0
57025,303.0,212.0,519.0,1087.0
57026,622.0,35.0,665.0,1325.0
57027,786.0,28.0,822.0,1459.0
57028,694.0,44.0,743.0,1775.0
57029,638.0,22.0,670.0,1126.0
57030,870.0,61.0,946.0,1718.0
57031,321.0,29.0,358.0,1532.0
