ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36005006400,18,4186,990,2227,106,1225,312,185,131,Soundview-Bruckner-Bronx River
36005006500,17,6251,1679,4045,225,1704,69,101,107,Melrose
36005006700,17,6893,1823,4895,117,1687,52,69,73,Melrose
36005006800,18,3419,902,1899,60,814,397,149,100,Soundview-Bruckner-Bronx River
36005006900,17,6964,1821,4179,124,2440,72,49,100,Melrose
36005007000,18,5021,1222,2616,105,884,1051,217,148,Soundview-Bruckner-Bronx River
36005007100,17,2789,674,1584,66,1003,61,23,52,Melrose
36005007200,18,6291,1543,2498,309,685,2535,146,118,Castle Hill-Unionport
36005007300,8,4205,1239,2804,80,1165,19,62,75,Melrose
36005007400,18,3536,712,2047,57,1194,132,29,77,Castle Hill-Unionport
36005007500,17,6749,1814,4218,199,2080,72,75,105,Melrose
36005007600,18,5682,1439,3588,170,946,697,167,114,Soundview-Bruckner-Bronx River
36005007700,17,1974,499,1445,61,410,14,12,32,Melrose
36005007800,18,7037,1809,3969,230,995,1481,201,161,Castle Hill-Unionport
36005007900,8,6826,1869,4889,101,1622,67,60,87,Melrose
36005008300,17,6122,1614,4849,72,1048,48,52,53,Longwood
36005008400,18,2587,605,1439,33,830,206,55,24,Castle Hill-Unionport
36005008500,17,5894,1628,4288,141,1245,59,70,91,Longwood
36005008600,18,4145,1048,2457,35,1401,106,75,71,Castle Hill-Unionport
36005008700,17,5976,1604,4334,84,1397,15,72,74,Longwood
36005008900,17,3118,727,2371,88,585,28,29,17,Hunts Point
36005009000,18,3911,1064,2488,60,1141,86,75,61,Castle Hill-Unionport
36005009200,18,6271,1570,3031,385,830,1581,242,202,Castle Hill-Unionport
36005009301,17,5551,1483,4031,85,1281,33,45,76,Hunts Point
36005009302,17,512,25,195,32,263,14,3,5,Hunts Point
36005009600,18,2946,669,1451,191,392,690,142,80,Westchester Square
36005009800,18,5903,1254,3638,171,1185,507,226,176,Castle Hill-Unionport
36005011000,13,0,0,0,0,0,0,0,0,Ferry Point Park-St. Raymond Cemetery
36005011502,17,4396,1347,3055,44,1186,28,28,55,Hunts Point
36005011701,17,1554,406,1063,15,437,5,4,30,Hunts Point
36005011702,17,0,0,0,0,0,0,0,0,Hunts Point
36005011800,13,5324,776,1511,3338,148,177,42,108,Throgs Neck-Schuylerville
36005011900,17,5703,1427,4008,125,1429,25,50,66,Longwood
36005012101,17,3319,853,2234,53,909,26,45,52,Crotona Park East
36005012102,17,1616,460,1225,20,332,5,11,23,Longwood
36005012300,17,4766,1275,3126,61,1413,37,55,74,Crotona Park East
36005012500,17,4139,1180,2608,75,1316,23,35,82,Crotona Park East
