ct,tot_,moe_,tot_not_hispanic,moe_not_hispanic,tot_hispanic,moe_hispanic,tot_mexican,moe_mexican,tot_puerto_rican,moe_puerto_rican,tot_cuban,moe_cuban,tot_dominican,moe_dominican,tot_central_american,moe_central_american,tot_costa_rican,moe_costa_rican,tot_guatemalan,moe_guatemalan,tot_honduran,moe_honduran,tot_nicaraguan,moe_nicaraguan,tot_panamanian,moe_panamanian,tot_salvadoran,moe_salvadoran,tot_other_central_american,moe_other_central_american,tot_south_american,moe_south_american,tot_argentinean,moe_argentinean,tot_bolivian,moe_bolivian,tot_chilean,moe_chilean,tot_colombian,moe_colombian,tot_ecuadorian,moe_ecuadorian,tot_paraguayan,moe_paraguayan,tot_peruvian,moe_peruvian,tot_uruguayan,moe_uruguayan,tot_venezuelan,moe_venezuelan,tot_other_south_american,moe_other_south_american,tot_other_hispanic_or_latino,moe_other_hispanic_or_latino,tot_spaniard,moe_spaniard,tot_spanish,moe_spanish,tot_spanish_american,moe_spanish_american,tot_all_other_hispanic_or_latino,moe_all_other_hispanic_or_latino
36081056700,5430,993,1716,449,3714,942,273,353,880,422,0,18,1259,830,234,237,0,18,14,21,74,118,0,18,0,18,123,203,23,35,1041,527,0,18,72,94,0,18,173,187,796,518,0,18,0,18,0,18,0,18,0,18,27,46,0,18,27,46,0,18,0,18
36081056800,5310,745,4058,673,1252,477,95,153,26,43,0,18,567,432,438,214,0,18,276,202,7,16,143,156,0,18,12,27,0,18,34,47,0,18,0,18,0,18,0,18,9,18,0,18,0,18,0,18,0,18,25,39,92,99,0,18,0,18,0,18,92,99
36081057700,3641,644,1817,365,1824,549,176,280,990,446,0,13,85,122,26,48,0,13,26,48,0,13,0,13,0,13,0,13,0,13,547,547,0,13,0,13,0,13,0,13,547,547,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081057900,1591,343,971,227,620,247,0,13,313,133,0,13,175,186,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,132,109,7,10,0,13,0,13,0,13,97,92,0,13,0,13,28,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081058000,4407,884,3942,887,465,204,0,13,250,228,0,13,0,13,147,100,0,13,0,13,0,13,0,13,72,100,75,70,0,13,68,63,0,13,0,13,0,13,0,13,68,63,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36081058100,3264,864,1335,382,1929,836,166,148,719,432,0,13,13,22,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,977,735,0,13,0,13,0,13,431,455,530,346,0,13,16,26,0,13,0,13,0,13,54,77,15,32,0,13,0,13,39,68
36081058200,5440,906,5010,887,430,252,66,107,0,18,0,18,17,28,278,237,0,18,0,18,26,38,0,18,159,226,93,122,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,69,85,0,18,49,84,0,18,20,23
36081058300,3718,497,2549,412,1169,370,161,126,365,168,0,13,376,227,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,257,253,11,18,0,13,0,13,23,37,223,242,0,13,0,13,0,13,0,13,0,13,10,15,10,15,0,13,0,13,0,13
36081058500,4737,554,3217,546,1520,409,119,174,421,248,0,13,303,311,442,399,21,32,0,13,409,399,0,13,0,13,12,21,0,13,203,155,23,34,32,54,10,16,0,13,115,138,0,13,0,13,23,38,0,13,0,13,32,49,0,13,32,49,0,13,0,13
36081058700,3532,433,2808,424,724,224,9,15,281,183,36,45,94,85,16,27,0,13,16,27,0,13,0,13,0,13,0,13,0,13,279,164,0,13,0,13,24,36,19,29,236,160,0,13,0,13,0,13,0,13,0,13,9,15,0,13,9,15,0,13,0,13
