ct,cd,tot_pov_pop,below_pov_pop
36047070201,46,5775,158
36047070202,46,20,0
36047070203,42,0,0
36047070601,46,3468,101
36047070602,46,0,0
36047072000,46,2109,536
36047072200,45,3165,651
36047072400,45,1939,109
36047072600,45,2392,152
36047072800,46,3791,306
36047073000,45,2675,49
36047073200,45,2175,328
36047073400,45,1720,15
36047073600,45,3186,376
36047073800,45,3863,282
36047074000,45,3940,723
36047074200,45,3137,386
36047074400,45,3084,98
36047074600,45,2596,141
36047074800,45,1725,347
36047075000,45,3100,128
36047075200,45,1076,0
36047075400,45,1262,21
36047075600,45,2121,137
36047075800,44,1742,93
36047076000,45,2935,519
36047076200,44,4572,1329
36047076400,45,4226,875
36047076600,45,2182,183
36047076800,44,3974,523
36047077000,45,2389,193
36047077200,45,3536,428
36047077400,45,3441,371
36047077600,45,3882,137
36047078000,45,2407,51
36047078200,45,4349,593
36047078400,45,2767,188
36047078601,45,2475,418
36047078602,45,2112,385
36047078801,45,2150,295
36047078802,45,1766,344
36047079001,45,1747,150
36047079002,45,3036,477
36047079201,40,1200,123
36047079202,40,2255,470
36047079400,40,1952,422
36047079601,40,3681,520
36047079602,40,5294,914
36047079801,40,3198,91
36047079802,40,5129,686
36047080000,40,3692,466
36047080200,40,4986,345
36047080400,40,3238,388
36047080600,40,3466,632
36047080800,40,1246,721
36047081000,40,2361,354
36047081400,40,2647,202
36047081600,40,2898,349
36047081800,40,4012,435
36047082000,40,5429,1182
36047082200,40,7427,899
36047082400,40,5104,605
36047082600,40,4905,769
36047082800,45,3524,317
36047083000,45,6490,654
36047083200,45,2129,170
36047083400,45,1637,176
36047083600,45,2031,184
36047083800,45,2097,150
36047084000,45,2599,142
36047084600,45,1905,75
36047084800,45,1641,173
36047085000,45,1747,174
36047085200,45,24,0
36047085400,45,1988,194
36047085600,45,3947,854
36047085800,40,1994,106
36047086000,45,3321,162
36047086200,45,3008,405
36047086400,41,2922,384
36047086600,41,3275,496
36047086800,41,3366,571
36047087000,41,3253,680
36047087200,40,3022,604
36047087401,40,3664,812
36047087600,41,1811,371
36047087800,41,2430,465
36047088001,41,1681,225
36047088002,41,1187,90
36047088200,41,6411,539
36047088400,41,4640,1569
36047088600,41,4041,1020
36047088800,42,4191,908
36047089000,41,6223,824
36047089200,41,3118,1330
36047089400,41,3357,1092
36047089600,41,3272,1319
36047089800,41,2227,442
