ed,cd,dem,rep,con,wor,oth,blank,total
29013,31,1377.0,47.0,3.0,2.0,33.0,168.0,1630.0
29014,31,1340.0,31.0,2.0,2.0,32.0,223.0,1630.0
29015,31,191.0,4.0,0.0,1.0,6.0,33.0,235.0
29016,27,298.0,10.0,0.0,1.0,6.0,35.0,350.0
29017,31,956.0,26.0,3.0,7.0,12.0,176.0,1180.0
29018,31,1339.0,52.0,5.0,5.0,30.0,205.0,1636.0
29019,31,1354.0,33.0,3.0,7.0,24.0,183.0,1604.0
29020,31,1085.0,27.0,4.0,2.0,24.0,208.0,1350.0
29021,31,1282.0,45.0,3.0,6.0,26.0,200.0,1562.0
29022,31,1153.0,36.0,1.0,1.0,25.0,202.0,1418.0
29023,31,1404.0,32.0,5.0,5.0,35.0,214.0,1695.0
29024,31,125.0,4.0,0.0,0.0,3.0,15.0,147.0
29025,27,1216.0,34.0,2.0,6.0,22.0,197.0,1477.0
29026,27,217.0,4.0,0.0,1.0,2.0,33.0,257.0
29027,27,1320.0,36.0,3.0,5.0,24.0,217.0,1605.0
29028,27,1380.0,29.0,2.0,4.0,20.0,194.0,1629.0
29029,27,1428.0,45.0,10.0,6.0,29.0,241.0,1759.0
29030,27,1310.0,60.0,4.0,4.0,27.0,226.0,1631.0
29031,27,860.0,21.0,3.0,1.0,17.0,134.0,1036.0
29032,27,686.0,17.0,0.0,1.0,6.0,98.0,808.0
29033,28,737.0,22.0,1.0,5.0,10.0,141.0,916.0
29034,27,1158.0,44.0,4.0,6.0,18.0,167.0,1397.0
29035,27,913.0,38.0,2.0,4.0,19.0,163.0,1139.0
29036,27,971.0,39.0,2.0,0.0,19.0,130.0,1161.0
29037,27,1131.0,25.0,1.0,3.0,14.0,186.0,1360.0
29038,27,909.0,30.0,4.0,7.0,27.0,157.0,1134.0
29039,27,1272.0,50.0,2.0,3.0,33.0,295.0,1655.0
29040,27,1288.0,48.0,1.0,11.0,27.0,282.0,1657.0
29041,27,1235.0,64.0,5.0,7.0,30.0,324.0,1665.0
