ed,cd,hochul,zeldin,gov_votes,voters_nov22
60058,42,306.0,26.0,337.0,1370.0
60059,42,109.0,13.0,124.0,401.0
60060,42,13.0,0.0,13.0,39.0
60061,37,0.0,0.0,0.0,
61001,49,324.0,147.0,476.0,1544.0
61002,49,373.0,101.0,481.0,1376.0
61003,49,417.0,16.0,449.0,1651.0
61004,49,443.0,57.0,513.0,1839.0
61005,49,320.0,273.0,600.0,1483.0
61006,49,268.0,40.0,324.0,1482.0
61007,49,305.0,101.0,414.0,1557.0
61008,49,379.0,110.0,491.0,1412.0
61009,49,354.0,161.0,519.0,1218.0
61010,49,292.0,125.0,425.0,1064.0
61011,49,508.0,191.0,707.0,1508.0
61012,49,538.0,150.0,698.0,1492.0
61013,49,539.0,101.0,656.0,1550.0
61014,49,324.0,55.0,384.0,1409.0
61015,49,339.0,47.0,392.0,1458.0
61016,49,217.0,50.0,269.0,1105.0
61017,49,262.0,271.0,535.0,928.0
61018,49,314.0,118.0,439.0,1071.0
61019,49,353.0,113.0,470.0,1031.0
61020,49,313.0,128.0,445.0,1049.0
61021,49,396.0,322.0,724.0,1238.0
61022,49,391.0,249.0,648.0,1682.0
61023,49,358.0,82.0,445.0,1412.0
61024,49,250.0,56.0,313.0,1541.0
61025,49,208.0,137.0,348.0,1102.0
61026,50,197.0,411.0,612.0,1163.0
61027,50,298.0,454.0,756.0,1726.0
61028,49,237.0,197.0,440.0,1149.0
61029,49,342.0,164.0,514.0,1602.0
61030,49,357.0,109.0,471.0,1547.0
61031,49,296.0,258.0,559.0,1475.0
61032,49,285.0,244.0,534.0,1363.0
61033,49,314.0,120.0,439.0,1416.0
61034,49,250.0,111.0,365.0,1229.0
61035,49,360.0,133.0,498.0,1482.0
61036,49,318.0,164.0,485.0,1595.0
61037,49,346.0,169.0,522.0,1626.0
61038,49,346.0,245.0,597.0,1685.0
61039,49,331.0,227.0,566.0,1499.0
61040,50,219.0,570.0,796.0,1333.0
61041,50,226.0,579.0,810.0,1610.0
61042,50,248.0,738.0,988.0,1730.0
61043,50,244.0,623.0,878.0,1623.0
61044,49,0.0,0.0,0.0,
61045,49,0.0,0.0,0.0,
61046,49,0.0,0.0,0.0,
61047,49,39.0,25.0,66.0,204.0
61048,49,146.0,91.0,240.0,539.0
61049,50,0.0,0.0,0.0,1.0
61050,49,161.0,218.0,383.0,665.0
61060,1,507.0,151.0,668.0,1527.0
61061,1,586.0,240.0,837.0,1435.0
61062,1,538.0,211.0,755.0,1211.0
61063,1,408.0,171.0,584.0,1012.0
61064,1,657.0,226.0,901.0,1616.0
61065,1,519.0,206.0,732.0,1345.0
61066,1,422.0,203.0,630.0,1062.0
61067,1,460.0,92.0,559.0,1393.0
61068,1,550.0,160.0,723.0,1495.0
61069,1,0.0,0.0,1.0,4.0
61070,,0.0,0.0,0.0,
61071,1,0.0,0.0,0.0,
61072,,0.0,0.0,0.0,
61073,1,0.0,0.0,0.0,
61074,1,0.0,0.0,0.0,
61100,38,4.0,0.0,4.0,4.0
61101,,0.0,0.0,0.0,
61102,,0.0,0.0,0.0,
61103,38,0.0,0.0,0.0,
61104,38,0.0,0.0,0.0,
61105,38,0.0,0.0,0.0,
61106,38,0.0,0.0,0.0,
61107,38,0.0,0.0,0.0,
61108,38,0.0,0.0,0.0,
61109,,0.0,0.0,0.0,
61110,,0.0,0.0,0.0,
61111,,0.0,0.0,0.0,
61112,,0.0,0.0,0.0,
61113,47,0.0,0.0,0.0,
61114,,0.0,0.0,0.0,
62001,51,109.0,813.0,923.0,1638.0
62002,51,142.0,830.0,975.0,1601.0
62003,51,166.0,688.0,860.0,1649.0
62004,51,103.0,726.0,836.0,1558.0
62005,51,110.0,714.0,830.0,1450.0
62006,51,133.0,697.0,834.0,1499.0
62007,51,127.0,757.0,886.0,1647.0
62008,51,123.0,661.0,789.0,1559.0
62009,51,136.0,745.0,885.0,1616.0
62010,51,162.0,687.0,852.0,1631.0
62011,51,118.0,594.0,714.0,1538.0
62012,51,147.0,675.0,826.0,1603.0
62013,51,159.0,736.0,899.0,1722.0
62014,51,162.0,689.0,854.0,1596.0
62015,51,162.0,747.0,913.0,1664.0
62016,51,168.0,780.0,950.0,1641.0
62017,51,171.0,695.0,872.0,1602.0
62018,51,165.0,745.0,915.0,1663.0
62019,51,147.0,794.0,946.0,1739.0
62020,51,179.0,685.0,869.0,1636.0
62021,51,181.0,730.0,917.0,1649.0
62022,51,145.0,680.0,829.0,1576.0
62023,51,150.0,734.0,889.0,1646.0
62024,51,171.0,643.0,818.0,1717.0
62025,51,144.0,609.0,757.0,1491.0
62026,51,196.0,619.0,817.0,1644.0
62027,51,182.0,688.0,873.0,1618.0
62028,51,170.0,619.0,791.0,1587.0
62029,51,177.0,654.0,836.0,1594.0
62030,51,201.0,590.0,798.0,1650.0
62031,50,219.0,659.0,880.0,1623.0
62032,51,139.0,547.0,693.0,1420.0
62033,51,168.0,698.0,872.0,1581.0
62034,51,163.0,641.0,806.0,1458.0
62035,51,56.0,233.0,292.0,540.0
62036,51,133.0,727.0,864.0,1727.0
62037,51,138.0,650.0,790.0,1634.0
62038,51,150.0,636.0,788.0,1659.0
62039,51,136.0,745.0,886.0,1619.0
62040,51,142.0,709.0,851.0,1618.0
62041,51,133.0,745.0,881.0,1575.0
62042,51,136.0,729.0,868.0,1602.0
62043,51,145.0,772.0,919.0,1606.0
62044,51,194.0,393.0,591.0,1576.0
62045,51,170.0,541.0,713.0,1593.0
62046,51,198.0,655.0,854.0,1610.0
62047,51,189.0,467.0,656.0,1488.0
62048,51,167.0,656.0,826.0,1573.0
62049,51,207.0,590.0,804.0,1584.0
62050,51,186.0,605.0,791.0,1619.0
62051,51,172.0,662.0,838.0,1628.0
62052,51,127.0,748.0,880.0,1654.0
62053,51,135.0,723.0,863.0,1675.0
62054,51,146.0,608.0,757.0,1626.0
62055,51,184.0,564.0,753.0,1602.0
62056,51,267.0,449.0,721.0,1578.0
62057,50,91.0,223.0,314.0,627.0
62058,50,103.0,268.0,371.0,642.0
62059,50,165.0,663.0,835.0,1387.0
62060,50,182.0,733.0,919.0,1559.0
62061,50,175.0,520.0,698.0,1355.0
62062,51,0.0,0.0,0.0,
62063,,0.0,0.0,0.0,
62064,51,0.0,0.0,0.0,
63001,49,369.0,84.0,462.0,1547.0
63002,49,233.0,142.0,378.0,1367.0
63003,49,179.0,218.0,405.0,951.0
